RefSeq,Organism,Sequence_length,N_penalty,O_penalty,D_penalty,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,oriC_edges_9,oriC_middles_9,xy_oriC_0,xy_oriC_1,xy_oriC_2,xy_oriC_3,xy_oriC_4,xy_oriC_5,xy_oriC_6,xy_oriC_7,xy_oriC_8,xy_oriC_9,xgc_oriC_0,xgc_oriC_1,xgc_oriC_2,xgc_oriC_3,xgc_oriC_4,xgc_oriC_5,xgc_oriC_6,xgc_oriC_7,xgc_oriC_8,xgc_oriC_9,ygc_oriC_0,ygc_oriC_1,ygc_oriC_2,ygc_oriC_3,ygc_oriC_4,ygc_oriC_5,ygc_oriC_6,ygc_oriC_7,ygc_oriC_8,ygc_oriC_9
NZ_CM001773.1,"Providencia sneebia DSM 19967 chromosome, whole genome shotgun sequence",3873423,0.08834847110682205,0,[342110],False,"(447066, 447566)",447316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,447316,nan,nan,nan,nan,nan,nan,nan,nan,nan,448255,nan,nan,nan,nan,nan,nan,nan,nan,nan,3852254,465361,nan,nan,nan,nan,nan,nan,nan,nan
NC_019697.1,"Chamaesiphon minutus PCC 6605, complete sequence",6284095,0.0,0,"[1432580, 1266820, 1594600, 1128420]",True,"(48525, 49025)",48775,"(6212857, 6213357)",6213107,"(4305860, 4306360)",4306110,"(3281157, 3281657)",3281407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48775,6213107,4306110,3281407,nan,nan,nan,nan,nan,nan,48714,6213045,1346410,2227344,3280096,4286835,nan,nan,nan,nan,597069,6276386,4358464,3200366,nan,nan,nan,nan,nan,nan
NC_020055.1,"Maridesulfovibrio hydrothermalis AM13 = DSM 14728, complete sequence",3703034,2.700488302294821e-05,0,[303750],False,"(23707, 24207)",23957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23957,nan,nan,nan,nan,nan,nan,nan,nan,nan,23949,nan,nan,nan,nan,nan,nan,nan,nan,nan,1097978,8761,nan,nan,nan,nan,nan,nan,nan,nan
NC_020054.1,"Fibrella aestuarina BUZ 2, complete sequence",6775444,0.0011962315679976102,0,[233430],False,"(594823, 595323)",595073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,595073,nan,nan,nan,nan,nan,nan,nan,nan,nan,585794,nan,nan,nan,nan,nan,nan,nan,nan,nan,597465,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001792.1,"Oceanobacillus kimchii X50 chromosome, whole genome shotgun sequence",3830781,0.002185977219788863,0,[145790],False,"(3750256, 3750756)",3750506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3750506,nan,nan,nan,nan,nan,nan,nan,nan,nan,3743126,nan,nan,nan,nan,nan,nan,nan,nan,nan,3750416,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_020409.1,"Pseudodesulfovibrio piezophilus C1TLV30, complete sequence",3646098,0.001097063216622263,0,"[148740, 94820]",False,"(2340635, 2341135)",2340885,"(4957, 5457)",5207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2340885,5207,nan,nan,nan,nan,nan,nan,nan,nan,2341737,nan,nan,nan,nan,nan,nan,nan,nan,nan,2334300,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_020504.1,"Streptomyces davaonensis JCM 4913, complete sequence",9466619,0.0003057057646452234,0,"[1074680, 47480]",False,"(640486, 640986)",640736,"(4820998, 4821498)",4821248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,640736,4821248,nan,nan,nan,nan,nan,nan,nan,nan,638539,7555152,5872790,nan,nan,nan,nan,nan,nan,nan,640913,8530612,1484137,3952935,nan,nan,nan,nan,nan,nan
NC_021081.1,"Meiothermus ruber DSM 1279, complete sequence",3098881,3.2269712841506335e-05,0,[134640],False,"(6500, 7000)",6750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6750,nan,nan,nan,nan,nan,nan,nan,nan,nan,8025,nan,nan,nan,nan,nan,nan,nan,nan,nan,1293,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM001844.1,"Bartonella bovis 91-4 chromosome, whole genome shotgun sequence",1624667,0.0011134589426633273,0,[357420],False,"(1605797, 1606297)",1606047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1606047,nan,nan,nan,nan,nan,nan,nan,nan,nan,1606047,nan,nan,nan,nan,nan,nan,nan,nan,nan,1623918,289461,nan,nan,nan,nan,nan,nan,nan,nan
NC_021487.1,"Chthonomonas calidirosea T49 chromosome I, complete sequence",3437861,0.003055679098136894,0,[144610],False,"(2297972, 2298472)",2298222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2298222,nan,nan,nan,nan,nan,nan,nan,nan,nan,2299943,nan,nan,nan,nan,nan,nan,nan,nan,nan,2292713,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM002258.1,"Agrobacterium fabacearum P4 chromosome 1, whole genome shotgun sequence",2856286,0.0002286185627069558,2,[824130],False,"(824320, 824820)",824570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,824570,nan,nan,nan,nan,nan,nan,nan,nan,nan,2796016,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM002259.1,"Agrobacterium fabacearum P4 chromosome 2, whole genome shotgun sequence",2052829,0.0005392558269587969,3,[2700],False,"(1101990, 1102490)",1102240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1102240,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM002139.1,"Xanthomonas cassavae CFBP 4642 chromosome, whole genome shotgun sequence",5197712,0.0014158152664095279,0,[148910],False,"(5172414, 5172914)",5172664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5172664,nan,nan,nan,nan,nan,nan,nan,nan,nan,5172756,542455,nan,nan,nan,nan,nan,nan,nan,nan,5180201,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_022444.1,"Megalodesulfovibrio gigas DSM 1382 = ATCC 19364, partial sequence",3693999,0.019085820001575528,0,"[183710, 295600, 131150]",True,"(1212829, 1213329)",1213079,"(3519431, 3519931)",3519681,"(2178961, 2179461)",2179211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1213079,3519681,2179211,nan,nan,nan,nan,nan,nan,nan,3527898,1213079,2179197,nan,nan,nan,nan,nan,nan,nan,1203894,3513118,2185754,nan,nan,nan,nan,nan,nan,nan
NZ_CM002280.1,"Streptomyces niveus NCIMB 11891 chromosome, whole genome shotgun sequence",8514960,0.07064178810000282,0,"[61300, 1807380, 1223070, 1312690]",False,"(25735, 26235)",25985,"(3555424, 3555924)",3555674,"(6161354, 6161854)",6161604,"(4459323, 4459823)",4459573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25985,3555674,6161604,4459573,nan,nan,nan,nan,nan,nan,22362,4459742,nan,nan,nan,nan,nan,nan,nan,nan,8476167,4456677,nan,nan,nan,nan,nan,nan,nan,nan
NZ_HG916852.1,"Rhizobium favelukesii strain LPU83 chromosome, complete genome",4195305,0.0,0,"[13000, 1136130]",False,"(222, 722)",472,"(1519377, 1519877)",1519627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,472,1519627,nan,nan,nan,nan,nan,nan,nan,nan,520,nan,nan,nan,nan,nan,nan,nan,nan,nan,4195173,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP007597.1,Stenotrophomonas rhizophila strain DSM 14405 chromosome,4648976,0.001644233052612016,0,"[837110, 823690, 815610]",True,"(197620, 198120)",197870,"(4074684, 4075184)",4074934,"(4596777, 4597277)",4597027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,197870,4074934,4597027,nan,nan,nan,nan,nan,nan,nan,197870,4075098,nan,nan,nan,nan,nan,nan,nan,nan,4033914,239726,nan,nan,nan,nan,nan,nan,nan,nan
NZ_HG315671.1,Formosa agariphila KMM 3901 strain type strain: KMM 3901 chromosome I,4228350,0.00555654096751688,0,[436930],False,"(4202242, 4202742)",4202492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4202492,nan,nan,nan,nan,nan,nan,nan,nan,nan,4224205,nan,nan,nan,nan,nan,nan,nan,nan,nan,4202359,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP007640.1,Bacillus atrophaeus subsp. globigii strain BSS chromosome,4175060,0.00011975875795796946,0,[94060],False,"(3558710, 3559210)",3558960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3558960,nan,nan,nan,nan,nan,nan,nan,nan,nan,3554678,nan,nan,nan,nan,nan,nan,nan,nan,nan,3559381,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CCSE01000001.1,"Jeotgalicoccus saudimassiliensis strain 13MG44_air chromosome, whole genome shotgun sequence",2191063,0.0,0,"[56810, 103550]",True,"(2188687, 2189187)",2188937,"(1602690, 1603190)",1602940,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2188937,1602940,nan,nan,nan,nan,nan,nan,nan,nan,390,1606891,nan,nan,nan,nan,nan,nan,nan,nan,1601714,2188612,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP014548.1,Nonlabens marinus S1-08 chromosome,2915920,0.0033862383055776562,0,[828140],False,"(827314, 827814)",827564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,827564,nan,nan,nan,nan,nan,nan,nan,nan,nan,780022,2167797,495734,1058608,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP063051.1,Vibrio coralliilyticus strain S2052 chromosome 1,3328634,3.0042353710260725e-05,0,[325600],False,"(2998131, 2998631)",2998381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2998381,nan,nan,nan,nan,nan,nan,nan,nan,nan,2999022,nan,nan,nan,nan,nan,nan,nan,nan,nan,2982742,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP063052.1,"Vibrio coralliilyticus strain S2052 chromosome 2, complete sequence",1884472,0.0,0,[111760],False,"(94654, 95154)",94904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94904,nan,nan,nan,nan,nan,nan,nan,nan,nan,1884410,93548,nan,nan,nan,nan,nan,nan,nan,nan,99136,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_FO818640.1,Limnospira indica PCC 8005 chromosome,6228153,0.0004190648495629442,0,"[518580, 304300, 1605580, 1328420, 1157430]",True,"(3200369, 3200869)",3200619,"(2522303, 2522803)",2522553,"(4561173, 4561673)",4561423,"(1334887, 1335387)",1335137,"(1960503, 1961003)",1960753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3200619,2522553,4561423,1335137,1960753,nan,nan,nan,nan,nan,5885154,626383,3194176,5123538,1360950,2537768,nan,nan,nan,nan,3274455,2522553,1335021,nan,nan,nan,nan,nan,nan,nan
NZ_CP012342.1,Corynebacterium riegelii strain PUDD_83A45 chromosome,2563723,0.0007730944411701265,0,[13360],False,"(2178904, 2179404)",2179154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2179154,nan,nan,nan,nan,nan,nan,nan,nan,nan,2179100,nan,nan,nan,nan,nan,nan,nan,nan,nan,2179768,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP013655.1,Enterococcus rotai strain LMG 26678 chromosome,3746111,0.08705401414960742,0,"[69800, 978760]",False,"(1126841, 1127341)",1127091,"(3742358, 3742858)",3742608,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1127091,3742608,nan,nan,nan,nan,nan,nan,nan,nan,1172010,3746060,nan,nan,nan,nan,nan,nan,nan,nan,1123072,3742570,2738789,nan,nan,nan,nan,nan,nan,nan
NZ_CP014135.1,Pseudomonas agarici strain NCPPB 2472 chromosome,5502003,0.011661571249597647,0,"[343070, 89650, 27930, 715010, 404370, 771360, 316700]",True,"(612303, 612803)",612553,"(5474208, 5474708)",5474458,"(2241990, 2242490)",2242240,"(4844475, 4844975)",4844725,"(1586115, 1586615)",1586365,"(3113761, 3114261)",3114011,"(3634192, 3634692)",3634442,nan,nan,nan,nan,nan,nan,612553,5474458,2242240,4844725,1586365,3114011,3634442,nan,nan,nan,612023,5440539,2244724,4845615,1586365,3096437,3634653,nan,nan,nan,594870,3673221,5476290,2224506,4841132,1587761,3112272,nan,nan,nan
NZ_CP014347.1,Xanthomonas phaseoli pv. dieffenbachiae LMG 695 chromosome,5036843,0.0001888087438897738,0,[954300],False,"(1135611, 1136111)",1135861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1135861,nan,nan,nan,nan,nan,nan,nan,nan,nan,1134088,4967679,nan,nan,nan,nan,nan,nan,nan,nan,1086373,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014480.1,Kocuria turfanensis strain HO-9042 chromosome,3742169,1.1757886936693666e-05,1,[1399330],False,"(273866, 274366)",274116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2075612,nan,nan,nan,nan,nan,nan,nan,nan,nan,344083,731246,3281870,nan,nan,nan,nan,nan,nan,nan
NZ_CP013251.1,Endozoicomonas montiporae CL-33 chromosome,5430256,0.001985910056542454,0,[23400],False,"(5428825, 5429325)",5429075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5429075,nan,nan,nan,nan,nan,nan,nan,nan,nan,5429070,nan,nan,nan,nan,nan,nan,nan,nan,nan,5427900,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014844.1,Cupriavidus nantongensis strain X1 chromosome 1,4619440,1.7318116481651455e-05,0,"[1311190, 1087590]",False,"(257043, 257543)",257293,"(754594, 755094)",754844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,257293,754844,nan,nan,nan,nan,nan,nan,nan,nan,201448,nan,nan,nan,nan,nan,nan,nan,nan,nan,255828,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP014845.1,"Cupriavidus nantongensis strain X1 chromosome 2, complete sequence",2456269,0.0,3,[180570],False,"(2285954, 2286454)",2286204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2286204,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP015286.1,Paenibacillus glucanolyticus strain DSM 5162 chromosome,5897585,3.3912186089729946e-05,0,[29000],False,"(2049364, 2049864)",2049614,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2049614,nan,nan,nan,nan,nan,nan,nan,nan,nan,2049615,nan,nan,nan,nan,nan,nan,nan,nan,nan,2051065,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP015285.1,"Azospirillum humicireducens strain SgZ-5 chromosome, complete genome",3181617,0.0,0,"[13280, 108110]",True,"(3110057, 3110557)",3110307,"(33202, 33702)",33452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3110307,33452,nan,nan,nan,nan,nan,nan,nan,nan,33216,3110889,2483166,nan,nan,nan,nan,nan,nan,nan,3110225,27810,2536761,nan,nan,nan,nan,nan,nan,nan
NZ_CP010029.1,Yersinia entomophaga strain MH96 chromosome,4275406,0.00029985456351981545,0,"[150860, 134950]",True,"(12234, 12734)",12484,"(2779781, 2780281)",2780031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12484,2780031,nan,nan,nan,nan,nan,nan,nan,nan,4924,2781526,nan,nan,nan,nan,nan,nan,nan,nan,2774778,12467,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP015922.1,Polynucleobacter wuianus strain QLW-P1FAT50C-4 chromosome,2232205,8.959750560544395e-05,0,"[258160, 680]",False,"(662, 1162)",912,"(1583003, 1583503)",1583253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,912,1583253,nan,nan,nan,nan,nan,nan,nan,nan,908,1583101,nan,nan,nan,nan,nan,nan,nan,nan,874,1596009,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016204.1,Prevotella scopos JCM 17725 strain W2052 chromosome 1,1859892,0.0008194024169145306,0,[195750],False,"(438988, 439488)",439238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,439238,nan,nan,nan,nan,nan,nan,nan,nan,nan,449019,261491,1671441,1439879,nan,nan,nan,nan,nan,nan,439231,1700896,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016205.1,Prevotella scopos JCM 17725 strain W2052 chromosome 2,1436518,0.0036588472960310974,0,"[57320, 200130, 249940, 335880]",True,"(2507, 3007)",2757,"(622542, 623042)",622792,"(1124062, 1124562)",1124312,"(1285024, 1285524)",1285274,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2757,622792,1124312,1285274,nan,nan,nan,nan,nan,nan,639411,510210,1275273,nan,nan,nan,nan,nan,nan,nan,622617,1285279,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP017448.1,Acidihalobacter aeolianus strain V6 chromosome,3363634,0.0035752998096701366,0,"[2860, 71290]",False,"(3361051, 3361551)",3361301,"(2777146, 2777646)",2777396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3361301,2777396,nan,nan,nan,nan,nan,nan,nan,nan,3361167,nan,nan,nan,nan,nan,nan,nan,nan,nan,3361310,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP017675.1,Gloeomargarita lithophora Alchichica-D10 chromosome,3049282,0.0860218897432248,0,"[2340, 26490, 14400, 5850, 903780]",True,"(2364389, 2364889)",2364639,"(1288425, 1288925)",1288675,"(156036, 156536)",156286,"(710571, 711071)",710821,"(2970554, 2971054)",2970804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2364639,1288675,156286,710821,2970804,nan,nan,nan,nan,nan,1288678,2364602,978538,710576,156166,2970220,nan,nan,nan,nan,2364485,3015409,1809849,154841,1287958,710868,nan,nan,nan,nan
NZ_CP015518.1,Syntrophotalea acetylenica strain DSM 3247 chromosome,3176363,3.1482547807035907e-05,1,[1098020],False,"(1457969, 1458469)",1458219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1403336,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP019434.1,Acidihalobacter ferrooxydans strain V8 chromosome,3448835,0.0016843368847741338,0,[11780],False,"(3448743, 409)",159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,159,nan,nan,nan,nan,nan,nan,nan,nan,nan,1383,nan,nan,nan,nan,nan,nan,nan,nan,nan,794,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP020549.1,Streptococcus pneumoniae strain Hu17 chromosome,2148350,0.01684781343822003,0,[1880],False,"(2148177, 328)",78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78,nan,nan,nan,nan,nan,nan,nan,nan,nan,1353,nan,nan,nan,nan,nan,nan,nan,nan,nan,1260,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP019344.1,"Nonlabens spongiae strain JCM 13191 chromosome, complete genome",3379276,0.0,0,"[12420, 598180]",False,"(2417295, 2417795)",2417545,"(612, 1112)",862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2417545,862,nan,nan,nan,nan,nan,nan,nan,nan,2427055,1808606,822907,396857,nan,nan,nan,nan,nan,nan,2397146,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP021422.1,Acutalibacter muris strain KB18 chromosome,3802913,2.629563179594169e-05,0,[8170],False,"(3802004, 3802504)",3802254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3802254,nan,nan,nan,nan,nan,nan,nan,nan,nan,3802258,2949544,nan,nan,nan,nan,nan,nan,nan,nan,3802667,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP022584.1,Paenibacillus physcomitrellae strain XB chromosome,4828665,0.00043697378053768484,0,[42790],False,"(3100694, 3101194)",3100944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3100944,nan,nan,nan,nan,nan,nan,nan,nan,nan,3097685,nan,nan,nan,nan,nan,nan,nan,nan,nan,3099824,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP016199.1,Mogibacterium pumilum strain ATCC 700696 chromosome,1862768,0.01242827877653041,2,[1030],False,"(326344, 326844)",326594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,326594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP017600.1,Rickettsia japonica strain M99123 chromosome,1283910,0.01085122788980536,0,"[323980, 255490]",False,"(16040, 16540)",16290,"(1270976, 1271476)",1271226,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16290,1271226,nan,nan,nan,nan,nan,nan,nan,nan,101,252742,nan,nan,nan,nan,nan,nan,nan,nan,16300,1271236,nan,nan,nan,nan,nan,nan,nan,nan
NZ_AP018248.1,"Tolypothrix tenuis PCC 7101 DNA, nearly complete genome",8700819,9.217523086045119e-05,0,[1346650],False,"(2360765, 2361265)",2361015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2361015,nan,nan,nan,nan,nan,nan,nan,nan,nan,8212194,764581,1562431,2427814,6359564,3442362,7259100,nan,nan,nan,4960649,6200969,2360481,nan,nan,nan,nan,nan,nan,nan
NZ_CP019336.1,Polaribacter sejongensis strain KCTC 23670 chromosome,4526271,0.024916758187921138,0,[681660],False,"(1448573, 1449073)",1448823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1448823,nan,nan,nan,nan,nan,nan,nan,nan,nan,4488497,1414770,2232714,nan,nan,nan,nan,nan,nan,nan,1448853,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP018616.1,"Vibrio azureus strain LC2-005 chromosome 1, complete sequence",3027809,3.302718236189931e-05,0,[6300],False,"(3027142, 3027642)",3027392,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3027392,nan,nan,nan,nan,nan,nan,nan,nan,nan,3026697,nan,nan,nan,nan,nan,nan,nan,nan,nan,3027012,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP018617.1,"Vibrio azureus strain LC2-005 chromosome 2, complete sequence",1573591,6.418440369829263e-05,0,[30720],False,"(91838, 92338)",92088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92088,nan,nan,nan,nan,nan,nan,nan,nan,nan,91557,nan,nan,nan,nan,nan,nan,nan,nan,nan,93093,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP020991.1,Monoglobus pectinilyticus strain 14 chromosome,2759678,0.0018538394696772595,0,"[279660, 415580]",False,"(1175152, 1175652)",1175402,"(13755, 14255)",14005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1175402,14005,nan,nan,nan,nan,nan,nan,nan,nan,1154623,50,nan,nan,nan,nan,nan,nan,nan,nan,1175402,14033,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP025738.1,Pseudomonas ogarae strain FR1 chromosome,6869391,2.91146624205843e-05,0,"[20100, 447270]",False,"(25141, 25641)",25391,"(3614828, 3615328)",3615078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25391,3615078,nan,nan,nan,nan,nan,nan,nan,nan,15216,3613873,nan,nan,nan,nan,nan,nan,nan,nan,37579,3614878,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CM009578.1,"Sphingopyxis lindanitolerans strain WS5A3p chromosome, whole genome shotgun sequence",4149534,0.00014845040431045993,0,"[271070, 500070]",True,"(2694476, 2694976)",2694726,"(2311385, 2311885)",2311635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2694726,2311635,nan,nan,nan,nan,nan,nan,nan,nan,2649636,nan,nan,nan,nan,nan,nan,nan,nan,nan,2663190,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP032221.1,Rhodococcus rhodochrous strain EP4 chromosome,5717651,5.246909963549717e-05,0,"[258000, 386350, 390440]",False,"(1757208, 1757708)",1757458,"(4544964, 4545464)",4545214,"(400120, 400620)",400370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1757458,4545214,400370,nan,nan,nan,nan,nan,nan,nan,1765854,4545212,1004497,401619,5370349,3403131,nan,nan,nan,nan,1752954,4525895,421141,3308045,nan,nan,nan,nan,nan,nan
NZ_CP028290.1,Acidovorax cattleyae strain CAT98_1 chromosome,5618386,0.3975052621873969,0,"[225600, 290920]",True,"(5609065, 5609565)",5609315,"(1026245, 1026745)",1026495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5609315,1026495,nan,nan,nan,nan,nan,nan,nan,nan,5617059,4175519,1570572,1028477,nan,nan,nan,nan,nan,nan,5605779,1013931,nan,nan,nan,nan,nan,nan,nan,nan
